m,s,min_svd_list,max_svd_list,avg_time,min_svd_list_length,avg_min_svd,avg_max_svd,max_min_ratio
100,5,"[0.3341785137705956, 0.17389020515502546, 0.0740728075591946, 0.15313854857138592, 0.03446270692417428, 0.0939190190005824, 0.3281229106048645, 0.057470089660354544, 0.010527257590541753, 0.05320757965116934, 0.07035808867865205, 0.12035990048631307, 0.06807173879141643, 0.3987437164510682, 0.09828497262204489, 0.05402212150535417, 0.5111450429976004, 0.09208909935584908, 0.2875946604666067, 0.2312910918649975]","[63.53143589228892, 64.73254773925102, 64.7812283271158, 66.49402966363283, 65.2961777438658, 64.95054172086797, 62.529817147469956, 66.26315833574236, 65.55658379707288, 63.60773608603751, 65.35378987264542, 64.57094394970528, 63.47247581471832, 64.02564756325518, 65.8241574469373, 64.14073684309876, 64.57386377747187, 67.87018282383258, 63.43672545265079, 65.84659473531015]",0.033113491535186765,20,0.16224750358538956,64.84291873664853,399.6543386106537
100,10,"[0.06705336691207293, 0.46545994426936366, 0.4586104188448687, 0.09522125829085595, 0.41266664153403615, 0.1269741207539976, 0.4268145898275511, 0.043014550523607566, 0.40907563119379803, 0.3280148453657732, 0.15048371061596927, 0.09491578409077127, 0.08867898441078219, 0.39138675760259645, 0.18098163291779865, 0.27333297522651934, 0.08756500737852277, 0.20664819868018697, 0.1304200264437396, 0.01193853579955236]","[66.29593304986152, 64.18865206862272, 64.11026349203496, 65.95163489847589, 69.04327733648442, 63.39857842213585, 64.4409493280857, 65.65964351851414, 64.24433326611647, 65.08547610112463, 63.568011670047525, 66.24429344182273, 64.2466115578168, 63.12302328610173, 64.3922214722259, 64.94462106751345, 64.57997245853211, 63.858179681719015, 63.39581498556715, 64.84907912927574]",0.03238341808319092,20,0.22246284903411814,64.78102851160392,291.19931167324364
100,15,"[0.27066480676893934, 0.07712144768769746, 0.023035422598302692, 0.05625799174827778, 0.006027702245102086, 0.15733114553338368, 0.28839971390534486, 0.013408570491136352, 0.25234028202350095, 0.13302319945528882, 0.06801634694934493, 0.17042687806002077, 0.25321724706518123, 0.20590230528002867, 0.20096201451694723, 0.010434765868302524, 0.21996079506081434, 0.24392568409496054, 0.4139590312950135, 0.007371872040790516]","[65.84543832058743, 64.11314920606522, 64.79197002760571, 63.81069002914344, 63.55397056647213, 62.74312763491547, 64.16240964095152, 63.46776932883959, 64.63375357248937, 62.948315155004366, 66.25466667997391, 61.284520277759896, 62.46291801208475, 63.51295661504908, 63.12932445526575, 63.70890912374737, 63.62851361419219, 64.1446977294832, 64.77837487758295, 62.98367068767497]",0.03251768350601196,20,0.15358936113441896,63.79795727774441,415.38005501507007
100,20,"[0.1058059980692764, 0.330752730978742, 0.1086051700810446, 0.040092856085331426, 0.0009828466323073398, 0.3951313600592919, 0.39041535861291626, 0.04527926277756945, 0.007002942672937332, 0.15293158703648033, 0.006152432488799119, 0.13044104602165438, 0.10676014166542391, 0.0670970370249351, 0.20317833615537906, 0.17455306394614603, 0.2455415032439465, 0.17107098982510907, 0.14428960554100986, 0.2782533823493463]","[66.03421938532857, 66.03386400917465, 64.76499527587764, 63.807415260312844, 63.09432737877361, 64.33508566382106, 65.3879053647044, 65.6768661525256, 63.57669110067146, 64.2432101189303, 63.24936335952013, 63.83977788829677, 64.36240934685392, 61.48477629300287, 67.86028246114758, 66.1609874846109, 63.98138641282837, 64.89318336608943, 64.8215461673899, 62.85861885161925]",0.03433307409286499,20,0.15521688256338234,64.52334556707397,415.69798659450635
100,25,"[0.2997515806508581, 0.17025757910770953, 0.16537297988486252, 0.11102094513302606, 0.13450857944720013, 0.18396818136060433, 0.27084933398381716, 0.13139168743240548, 0.2840458165058528, 0.31288700313441575, 0.19815864144480788, 0.026937560751133707, 0.1557446454481281, 0.46042971409594874, 0.12466568541417715, 0.2625112812073488, 0.044439027626910585, 0.0722345527319861, 0.24976752292018148, 0.35012121642131555]","[64.28084841415316, 63.96183086234761, 63.0461528608769, 64.26961115723309, 64.95839882197099, 62.79118344231051, 64.72238286541709, 63.12178390887928, 66.3958656517963, 63.645754437582774, 63.958994217368016, 63.037876555776535, 62.77534190409999, 63.00010562365289, 64.21235397300464, 64.09272688766664, 64.9558639128126, 65.2474192838816, 63.77781354250984, 64.64005115149368]",0.034814083576202394,20,0.20045317673513452,64.04461797374171,319.499141978508
100,30,"[0.10632560076995436, 0.4384353382559657, 0.1960297486218146, 0.09771507228790278, 0.23671036636652973, 0.5419862141484633, 0.01923620864301432, 0.37378784140182775, 0.010873915935709107, 0.4335379962938596, 0.12615667444923181, 0.3749305495292009, 0.030900028339860986, 0.1462327706896831, 0.007182316647295287, 0.4704077721925963, 0.11472654908120539, 0.34655881144791373, 0.08487447375726298, 0.2938702556070385]","[61.99447877228601, 64.1270007634334, 65.40251142661546, 65.1435775616393, 65.5419097187167, 62.68012876959906, 63.6593247801118, 63.354575484519394, 64.72675619777227, 65.17609259206435, 63.04935347835359, 63.84241709341011, 62.32535824497889, 62.51877358424795, 64.10135047390033, 65.21372737667782, 64.45754017784309, 64.4954761986884, 63.95768363643299, 63.56382351498051]",0.03501527309417725,20,0.22252392522331652,63.96659299231358,287.45939533521687
100,35,"[0.3235989428386304, 0.39512980636266787, 0.6841753909035524, 0.23222012245154802, 0.26737027759437276, 0.15787235946631215, 0.06565536678272632, 0.1303837024092784, 0.25532097938675813, 0.17020391774719837, 0.11485942305453074, 0.27027055253219345, 0.2898765892644487, 0.23459565045076505, 0.06790860002874792, 0.06161535495065361, 0.25623271401130626, 0.13482697273346733, 0.3819535002456246, 0.1505037088773927]","[64.40551735630709, 65.2886484379985, 63.605594054658155, 62.12651707440895, 63.823608487966, 63.2196624932589, 63.39184019999835, 64.84806646563067, 63.751210582951884, 67.4723881060515, 63.21726531840904, 68.48792409768546, 64.76589870063191, 67.57421994505053, 63.70497020501491, 64.69033567399808, 63.556324170594046, 65.28503312337607, 66.09003726660518, 65.90631983797726]",0.03665755987167359,20,0.23222869660460876,64.76056907992862,278.8654891784954
100,40,"[0.0192579451141125, 0.6128332027315944, 0.006275649941480189, 0.32001476916385485, 0.14252640058722116, 0.11176406821523269, 0.11063656929644886, 0.0769325520489992, 0.2659513099108772, 0.08678960449718333, 0.0783386638771175, 0.20823678009392832, 0.05613553462905711, 0.09475658474080818, 0.17325559858173736, 0.14250646275912063, 0.45657933843906684, 0.16067163465092338, 0.2789968518816524, 0.19978377895580907]","[63.58192704422585, 66.38171770089426, 64.84034441090436, 64.04503765187097, 65.59162507294556, 62.754094695361864, 64.10644435059629, 65.10844048405656, 63.867763928809396, 64.91829265071087, 62.54931737144464, 66.66145902492624, 65.05766530331746, 65.69568009667256, 62.373645934097844, 64.68297384060317, 63.25326090271961, 64.96063026921706, 66.85057471898114, 65.88388884950656]",0.03666080236434936,20,0.1801121650058113,64.65823921509312,358.9887402275517
100,45,"[0.004151403085867764, 0.23812256304791493, 0.11904434320212981, 0.4301795763010465, 0.15622592214953732, 0.1724200084066197, 0.09268908976615986, 0.06649204407168154, 0.013917541118242246, 0.5472856556807166, 0.10753382451891494, 0.2878532032317147, 0.17425986221572737, 0.20017354951314717, 0.1292452218754971, 0.025875357120130796, 0.00822453284251791, 0.11051732357639646, 0.1362700207692446, 0.1149621013094143]","[63.33177773884441, 64.44486021990267, 65.716461960019, 64.73495488881645, 63.98555026778316, 64.99761579765222, 69.38739745643737, 63.76895338780109, 64.77046921501572, 62.56368139895245, 66.0007979471482, 63.616415936229565, 64.42006289472528, 66.13994238313714, 61.92079727519536, 64.55639912503119, 63.882469967071614, 60.805130432068616, 63.42120378531152, 64.99175311000207]",0.036699092388153075,20,0.1567721571901311,64.37283475935725,410.6139502902085
100,50,"[0.41571054802889035, 0.02962940201404119, 0.010916803497912436, 0.22230147536476877, 0.012994037291132951, 0.0928771680344732, 0.2150202406907858, 0.10520274081188813, 0.303812283638185, 0.3140742888693372, 0.03371772462605715, 0.07232267545537527, 0.5721457374158943, 0.26294944030244405, 0.058123918031980124, 0.36671311208546037, 0.03367898321116754, 0.2619732596780592, 0.2715211144266365, 0.09147013015498671]","[62.142612283347376, 62.42402431051204, 63.04083138277282, 64.85824834911956, 64.93606513305718, 64.63874082903162, 62.528102846778424, 64.40782655097041, 67.96429279754823, 63.70434945130663, 66.23953751010754, 64.57181793523422, 66.56190689965132, 62.92473634514394, 63.45951892342195, 65.77058343886306, 63.66005769676887, 68.55424594457668, 64.35966199538967, 62.58996509820684]",0.03995158672332764,20,0.1873577541814738,64.46685628609042,344.08427111934816
