m,s,min_svd_list,max_svd_list,avg_time
100,5,"[0.0016379128380206885, 0.0026012156171652417, 0.005337594302898454, 0.006039390485140392, 0.0064849775696407905, 0.019285286545591383, 0.0004975047908779579, 0.012389556561489086, 1.2893543601371646e-05, 0.006379847997796321, 0.0014531846990734091, 0.007363655362601032, 0.00495340626694615, 0.007352889075302102, 0.0005675218734691721, 0.0030502015706794215, 0.005376595844367433, 0.008667310766245198, 0.012327832653699078, 0.00501054980956814]","[2.0005370247155865, 1.9932870004847085, 1.9672466867611065, 1.9795404799582503, 1.9276594215790914, 2.045855448698135, 1.9542978386557537, 1.9985024911066027, 1.999594156894227, 1.9585709559182132, 1.961705508694617, 2.0378573141490253, 1.9323302750575322, 2.01206736800224, 1.9558390439762532, 2.016843735836622, 1.8849299172969232, 1.9498482474028829, 1.954926548217595, 1.9391289142352641]",0.06399000883102417
100,10,"[0.007772917462901248, 0.010607650957772871, 1.0236456032871056e-05, 0.0006415100437859952, 0.00457790597836004, 0.011119441433140215, 0.009298062682629235, 0.020206645690360223, 0.009103141107748134, 0.010014749380363001, 0.008230141717275723, 0.006805088825880362, 0.0033743669251044286, 0.007050306107853773, 0.0055793331971615585, 0.010712221145434596, 0.0033590847138670154, 0.0012799239033194822, 0.009167654055366303, 0.006905793720713949]","[2.023539151558161, 1.93389694994069, 1.9229143715779158, 1.977148574543758, 1.9165876299953102, 1.9610932797648373, 1.9592709831801012, 1.9410421588413909, 2.017497673012851, 1.9581022785081454, 1.9414380205082984, 1.9515136737147976, 2.038089656118268, 1.957529866476922, 1.976124484447219, 1.945099526647913, 1.9788930666980846, 2.009358014020252, 1.965233477397756, 1.9028436967848177]",0.07026388645172119
100,15,"[0.00032703602118173855, 0.0036573426172732894, 0.009699484279223205, 0.010217925967882787, 0.0035380771958722045, 0.0042768289860518225, 0.01033803336487874, 0.0061379293844014, 0.0035414721618897632, 0.011090520151908064, 0.0032056931933707477, 0.00789295567180661, 0.009839035509314354, 8.395771383860377e-05, 0.0015601130376728175, 0.003627570729989077, 0.012830275127624996, 0.0011114963767674673, 0.004131042250850537, 0.005271628050550498]","[1.960376034690734, 2.009233841599933, 1.9838799377678717, 1.9338358885178704, 2.0495399116175257, 1.9296897621551727, 1.9003597654964464, 1.9681290029958558, 1.9608080737388298, 1.9579459176585086, 1.9444006136682837, 1.9949198924326486, 1.9342032075657687, 1.9147892766834094, 1.9310348134050683, 1.9759508796012593, 1.9334934453644166, 1.9667378246757565, 1.9793263745331555, 1.969342220471505]",0.07190446853637696
100,20,"[0.014170505562135585, 0.0009217130841547507, 0.007062968598346102, 0.0008894896298720404, 0.009067503500710249, 0.0065706611576475905, 0.0015994245940046308, 0.002871761168268671, 0.0023736943077791325, 0.007841874955159433, 0.0014568829474207378, 0.0061857281651804645, 0.0019121820393753453, 0.00414433819809153, 0.005385026686982385, 1.6733142723308263e-05, 0.0004043246195868248, 0.006061803620163577, 0.0014756844304779266, 0.003295436484630125]","[1.9597291996640078, 1.8945002847731969, 1.9747760670317673, 1.959693581044038, 1.9038597314383627, 1.9612351807195174, 1.988710767244947, 1.9669922000607034, 1.911277475191997, 1.8927525579107278, 1.9666131675688359, 1.9455630690942778, 1.9474173002515338, 1.959887550237844, 1.9286040167245282, 1.9603521733426092, 1.9936213874554034, 1.9052329085920767, 1.9459295183222736, 1.9468443361901246]",0.047944056987762454
100,25,"[0.002702522790162387, 0.018502783265737798, 0.005858052977356663, 0.011771923465142449, 0.0031474431711758133, 0.017493773095905274, 0.005237977236245133, 0.0016533495480595833, 0.004395349978803348, 0.0026324744355507744, 0.010835015522677929, 0.011121471588571389, 0.002991453867382716, 0.004483005664679173, 0.003973175314097813, 0.021251234219296956, 0.0038233103994567137, 0.0001288996957728673, 0.013425494320456128, 0.008872457666081458]","[1.9664501153185914, 1.9318289266624198, 1.934603267518717, 1.9445041567639023, 1.9431962239418525, 1.912940996628801, 1.9682440965922772, 1.9936567481301584, 1.9277961077942474, 1.951169175872116, 1.9151492105033927, 2.0179532676307095, 1.9528721025041744, 2.0002783875075365, 1.9545224073243637, 2.021115673229109, 1.977751408753256, 1.9369201477192668, 2.010898285701084, 1.975157894210232]",0.05942453145980835
100,30,"[1.0563595986182774e-06, 0.01040564657062196, 0.005576999609874161, 0.011883089294098882, 0.00438725002681314, 0.001644111269310195, 0.005395665934660629, 0.00692864754593745, 0.013813712619263754, 0.008323155513482009, 0.013380500743610598, 0.0003865008660515504, 0.0032832524470300817, 0.0027949593177022105, 0.004177352543068648, 0.00933553907444717, 0.0008562289742897244, 0.013016555592090612, 0.0029005384293430483, 0.009199633804824924]","[1.9698701523096105, 2.019570327936735, 1.9035250925743945, 1.9115857483003338, 1.939601020476467, 1.9449982045646923, 1.9366292551220134, 1.9285559674246675, 2.0077460826009768, 1.9200635502015728, 1.9203577102665395, 1.952614104418036, 1.9669022251519233, 1.9842574261174541, 1.9744680323480042, 1.9699794769202377, 1.9727830877996364, 1.9482550860087384, 1.977618500718191, 1.9789807793375669]",0.055399858951568605
100,35,"[0.0035838432123727073, 0.00012519547220848698, 0.008028536166028305, 0.01073709977947703, 0.0012251934627190851, 0.0029723863010841104, 0.008600797583732167, 0.0004419770015759902, 0.002748273518594876, 0.006846671570059538, 0.014116522711106442, 0.0057849080419370945, 0.007420598477478454, 0.011629648960778904, 0.005878787143235252, 0.013427550044859682, 0.0017428359397262186, 0.0005723674536387485, 0.0035141454458233836, 0.011620545494479311]","[1.94678510723046, 1.9310054589634225, 1.922285364747532, 1.9888415622476134, 1.9803865075178608, 1.9369212858141138, 1.997164612083933, 1.972123525979187, 1.9528805746707698, 1.958792188187643, 1.9391798916800258, 1.928518316222726, 1.9935156367210007, 1.9542538711707729, 1.9273056926251126, 1.9454507828624172, 1.913811077721018, 1.9640846743303064, 2.0260260464984987, 1.9521226004570238]",0.05674035549163818
100,40,"[0.030969647066166586, 0.003801247475295861, 0.003236430158960662, 0.002048968105297019, 0.00045465885501759485, 0.007020181370355307, 0.004944390680235481, 0.006981695637938117, 0.002080820565627479, 0.005421681232077211, 0.012351275626160918, 0.016175827364106946, 0.0010845744269902008, 0.010200787165940743, 0.0100441338438607, 0.0018950410524355764, 0.010327759196610964, 0.014878787390824405, 0.004089755892452562, 0.012980935374075228]","[1.9670773984949557, 1.941667418180677, 1.9189596812632415, 1.9362246260442908, 1.939252966801238, 2.001145675663674, 1.969647874431846, 1.9473066150908505, 2.047168339815261, 1.956761070032685, 1.9022025753150151, 1.9565758893207912, 1.9247931045117503, 1.9906640150816721, 2.0035050788344644, 1.9494697691737348, 1.9715700611331233, 1.9288908239311597, 1.9275350273687428, 1.9341950257594107]",0.056627166271209714
100,45,"[0.014081326033727016, 0.00291330488744791, 0.005133253295866767, 0.009631296748167746, 0.006326225858787696, 0.005041042472557437, 0.004715494423438859, 0.014193012029255684, 0.006028171600485888, 0.014648097153010992, 0.001820869888705436, 0.0016818470855302014, 0.0007006383707782217, 0.001515162487541534, 0.0008207934833869271, 0.013224471388619121, 0.018359910180062583, 0.004489971368475439, 0.014056863074902098, 0.011907879239860598]","[2.001759631179759, 1.9328857417967198, 1.9668358076208452, 1.9131349734146168, 1.9320336843392512, 1.9447631466477122, 1.9909851548558226, 1.8726377641266023, 1.9333846464301196, 1.9038191552065322, 2.0159854562909856, 2.0461462384530624, 2.023113393065916, 1.9395717012751783, 1.9736232817215023, 1.9809083155672746, 1.9637138838779826, 1.9864125099139889, 1.985507076177465, 1.9319474910228986]",0.05829236507415771
100,50,"[0.010220538278595087, 0.01685132714094547, 0.003209042727313141, 0.016518046710864497, 0.005996222423520687, 0.010123335933860535, 0.010167557381017708, 0.010598130791121504, 0.010434564363031319, 0.006910514336058494, 0.011204939462136248, 0.0007615550124074957, 0.007703468546299134, 0.005559685264370145, 0.004952703612496844, 0.008191068509625468, 0.009803246256459388, 0.007776957393661423, 0.009033208731428228, 0.00931607032613115]","[1.9944754865354983, 1.9778378790472506, 1.9768935892486965, 1.9900293860868838, 1.9854079573205592, 2.0021741394325088, 1.93492275709816, 1.9764413820532734, 1.9663005614765217, 1.9567996477039074, 1.9053738656098065, 1.9758083256919328, 2.0259419544076014, 2.0210668826426312, 1.9515490960003843, 1.900585121496291, 1.9421792150981678, 1.9656068707353533, 1.9177409573161457, 1.9684000555204573]",0.056867551803588864
