m,s,min_SU,max_SU,avg_time
100,5,-12.587883369345041,12.473150389492703,0.04653887748718262
100,10,-12.320821369947419,12.38845617208479,0.03675210475921631
100,15,-12.432908308450006,12.197448187123115,0.039415168762207034
100,20,-12.829430515104738,12.748039233758147,0.04223841428756714
100,25,-11.943746858862182,11.938248685040325,0.03751521110534668
100,30,-12.337672079011234,12.067523202718894,0.0442563533782959
100,35,-12.442945144717573,12.316084029293567,0.03907452821731568
100,40,-12.20443384416498,12.373174902245712,0.04499011039733887
100,45,-12.182125987579374,12.026673681598375,0.056336832046508786
100,50,-12.451319409132886,12.047963236530233,0.03686225414276123
100,55,-12.34584431357608,12.776502607766968,0.04057266712188721
100,60,-12.32301062588689,11.874842773686648,0.03687154054641724
100,65,-11.810789020806771,12.212884892824892,0.03939284086227417
100,70,-12.359558184853876,12.185690958239787,0.045017361640930176
100,75,-11.876715764963109,12.159773535967052,0.04252108335494995
100,80,-12.09153802623735,12.410843789399262,0.047266030311584474
100,85,-12.424555521433355,11.98666461686265,0.045137572288513186
100,90,-12.252961214447083,12.14856992341303,0.050697612762451175
100,95,-12.86995161683818,12.640638533788806,0.04851577281951904
100,100,-12.536845430830326,12.43217047776433,0.048337578773498535
150,5,-10.960711627790728,10.345693499134303,0.034885835647583005
150,10,-10.53622948149847,10.37147157840326,0.03007354736328125
150,15,-10.440856805119045,10.417589885186574,0.030774855613708497
150,20,-10.046956422783488,10.451469026513571,0.034068751335144046
150,25,-10.404864332848412,10.577712175540256,0.035086655616760255
150,30,-10.271243131074508,10.616892382016843,0.035001087188720706
150,35,-10.118200577189857,10.743646663103295,0.03642359972000122
150,40,-10.460791536945758,10.052204856295965,0.037101590633392335
150,45,-10.010778686437192,10.548803403800274,0.03730862140655518
150,50,-10.3179510972716,10.54201434566551,0.03999612331390381
150,55,-10.15938786374277,10.457032781444427,0.03916662931442261
150,60,-10.227950568382548,10.28037357626651,0.04000396728515625
150,65,-10.0284849874806,10.054674087870115,0.04077916145324707
150,70,-10.284328678713747,9.942921484232642,0.041666829586029054
150,75,-10.426554893436384,10.299668107436997,0.04250847101211548
150,80,-10.38932728025714,10.057501567411698,0.041677772998809814
150,85,-9.992196816778272,10.224804454453656,0.04413838386535644
150,90,-10.312875379303328,10.006154582157844,0.04668903350830078
150,95,-10.308207322340193,10.16530485451016,0.049170291423797606
150,100,-10.030788423669861,10.303057426542683,0.0459463357925415
150,105,-10.340304107370383,10.190173743221226,0.049874615669250486
150,110,-10.13425913103636,10.100430623196207,0.046679449081420896
150,115,-10.15826708648881,10.091897967721838,0.05499486923217774
150,120,-10.093246710441186,10.165272495210905,0.05000236034393311
150,125,-10.40771092966518,10.06206945095876,0.06165668964385986
150,130,-10.178346640316514,10.192325652042175,0.050856494903564455
150,135,-10.15969903905318,10.487415229493996,0.059978187084198
150,140,-10.632012643189697,10.258818300510526,0.05258873701095581
150,145,-10.371629845946504,10.13970156779123,0.06240975856781006
150,150,-10.317260318933158,10.277566598209308,0.057327878475189206
200,5,-9.32708943028966,9.637512322898163,0.032660937309265135
200,10,-9.108857160138076,9.207218730612407,0.030011141300201417
200,15,-8.86989315884121,9.263400189147777,0.032503294944763186
200,20,-9.132503873158154,9.02371522649925,0.036673998832702635
200,25,-8.935385327254544,8.984529771797051,0.0316657543182373
200,30,-9.241795468593411,9.003809256674169,0.03582831621170044
200,35,-8.932071284034903,8.986719323969782,0.03749181032180786
200,40,-9.233521576033542,8.99500317032594,0.03502215147018432
200,45,-8.972338849717826,9.130677959064506,0.03917595148086548
200,50,-9.206164249423795,8.6963338897957,0.04245481491088867
200,55,-8.98388239057768,9.116180175911229,0.03752568960189819
200,60,-8.983926578052454,9.346488860529389,0.04227956533432007
200,65,-8.901689205582121,9.138701560284073,0.041144931316375734
200,70,-8.850632598611229,8.8959313288298,0.040828239917755124
200,75,-8.917182993566357,9.153877302405563,0.04946810007095337
200,80,-9.202596226289263,9.272813675689303,0.050441741943359375
200,85,-9.091756426101899,9.178016038473631,0.05417705774307251
200,90,-8.81039136203629,9.00961482860434,0.05089757442474365
200,95,-9.089717267657333,8.959801409172998,0.05075691938400269
200,100,-9.072950824162517,9.020650122846927,0.054175615310668945
200,105,-8.859801371665295,8.802875640545764,0.05165265798568726
200,110,-8.98695750164924,9.148387537505142,0.05083235502243042
200,115,-9.064857237304688,9.03607409889496,0.051120424270629884
200,120,-8.826213498525899,9.038653723558959,0.05139038562774658
200,125,-9.16393816321449,9.038861033326727,0.05629663467407227
200,130,-9.094627682400915,8.958439053484923,0.0552431583404541
200,135,-9.124748881431625,9.122014135473227,0.05750575065612793
200,140,-8.877195287514349,8.799700962702603,0.058325541019439694
200,145,-9.115433311515504,8.9615166620597,0.05667259693145752
200,150,-9.10754370720509,8.929187089578672,0.0591699481010437
200,155,-9.183784537938047,8.975194546261353,0.06839189529418946
200,160,-9.174667164720894,9.00354803478657,0.057430601119995116
200,165,-8.980286494015346,9.154993969529865,0.06167482137680054
200,170,-9.105096724770998,9.037154221270162,0.05763533115386963
200,175,-8.961662078087905,9.02896903960399,0.06570827960968018
200,180,-8.938182958877682,9.27560947044264,0.06331557035446167
200,185,-8.839361297699856,9.055041721739823,0.06334421634674073
200,190,-8.949822784752525,8.864070965841439,0.06749471426010131
200,195,-8.929209853951594,8.995987306206812,0.06330019235610962
200,200,-8.809864627013718,8.862024889141402,0.06841721534729003
250,5,-8.55396083359892,8.583988429580286,0.02996937036514282
250,10,-8.438270315898121,8.76360644978011,0.0366168737411499
250,15,-8.590472574922657,8.187102848429987,0.03336012363433838
250,20,-8.140317465532565,8.260181300875368,0.0325045108795166
250,25,-8.356679309309673,8.226284205572812,0.03598865270614624
250,30,-8.324329936197538,8.222214208098269,0.03746645450592041
250,35,-8.265064028200204,8.4649550639459,0.0348814606666565
250,40,-8.191989446861072,8.01048328486588,0.04250026941299438
250,45,-8.37675422375808,8.27207511836552,0.03833132982254028
250,50,-8.292428430470009,8.227450714819899,0.039167153835296634
250,55,-8.201120051770035,8.065534499327203,0.04251011610031128
250,60,-8.258057544307633,8.202855600327975,0.04122015237808228
250,65,-7.939672207989854,8.202489471882588,0.05316736698150635
250,70,-8.082676478685087,8.168977258034221,0.04658598899841308
250,75,-8.394531806218465,8.186675346508258,0.049822664260864256
250,80,-8.052574988471378,8.21213702151469,0.04914135932922363
250,85,-8.307759632118241,8.042625340154832,0.04924155473709106
250,90,-8.115871354347338,7.824373541973292,0.05165313482284546
250,95,-8.346638724538177,8.227242619951188,0.050836598873138426
250,100,-8.072122557981906,7.97649712574304,0.0517350435256958
250,105,-8.252295664949509,8.12284540011547,0.054028439521789554
250,110,-8.151838579855642,8.128506061256555,0.051801598072052
250,115,-8.206338888215324,8.168142727929416,0.051536738872528076
250,120,-8.077265078949617,7.925698428501439,0.05330183506011963
250,125,-8.125928578147851,8.453961838134102,0.05583939552307129
250,130,-8.131086546798032,7.9029688777488705,0.05500720739364624
250,135,-8.371632065961993,8.189471254657317,0.05664994716644287
250,140,-8.089996607811603,8.355628539570878,0.055835390090942384
250,145,-8.031307025601361,8.341065286391638,0.05932496786117554
250,150,-8.133560293008864,8.300166259931103,0.05914872884750366
250,155,-8.054655045596686,8.2585517148891,0.0582005500793457
250,160,-8.243262192443552,8.099668569160237,0.06418216228485107
250,165,-8.075704297549965,8.255016414616572,0.05831170082092285
250,170,-8.224724407776474,8.155854515101854,0.07584902048110961
250,175,-8.264293438776273,8.163068277618244,0.07664980888366699
250,180,-8.021225034471453,8.167549007780462,0.062496840953826904
250,185,-8.495570178647869,8.315081924252299,0.07584420442581177
250,190,-8.106164919373212,8.126347537159843,0.07013108730316162
250,195,-8.094751861480246,7.989730915625131,0.06571822166442871
250,200,-8.092898872927332,8.08942154824638,0.06889398097991943
250,205,-8.04764781608547,8.224680084591796,0.0719315767288208
250,210,-7.867830730585375,7.924729661890124,0.06582423448562622
250,215,-8.233406208260126,8.118786261616535,0.07164709568023682
