m,s,min_svd_list,max_svd_list,avg_time,avg_min_svd,avg_max_svd,max_min_ratio
1500,5,"[0.946048729384702, 0.9228094584185466, 0.9324592554021187, 0.9270120276566695, 0.9195211527231938, 0.9377488422458926, 0.9251099619310783, 0.9053541595119375, 0.921528464235217, 0.9284726179051542, 0.9261874375465469, 0.9491940790976175, 0.9318123213194959, 0.9366598947217928, 0.9250333176916095, 0.9305981433298396, 0.947554106518185, 0.9248133929315391, 0.929613052653969, 0.9177182147946115]","[1.086241948235433, 1.0808589743969392, 1.0724311676270282, 1.0631429586906667, 1.072882844805013, 1.0630562512693673, 1.0769188921827566, 1.0865209399825626, 1.0517934288585113, 1.0589578991143396, 1.074565571897542, 1.0491895324420413, 1.0575465676962874, 1.074979744235362, 1.0577494629438862, 1.0807899860858825, 1.0482629104892778, 1.0612647299020364, 1.0637384499016656, 1.0514626172637302]",0.10245518684387207,0.9292624315009859,1.0666177439010165,1.1478111109884948
1500,55,"[0.9476460806659854, 0.9294051157105518, 0.9329330490910205, 0.9110927896494279, 0.925928015285274, 0.9226998218575174, 0.9471618073617943, 0.9417746637581538, 0.9310442438661696, 0.9294891065976303, 0.91853388700334, 0.9381827317968705, 0.9412405957319899, 0.9051338842759411, 0.9330723514510292, 0.910783478568147, 0.9310377655404305, 0.9428912833395757, 0.9292915923025696, 0.9481021315414679]","[1.074553039127174, 1.0566222608802602, 1.0478479776604575, 1.0612340025221432, 1.0720394174519416, 1.0564449003053387, 1.0569336482421983, 1.0807732556871763, 1.0780133733371087, 1.079389897543063, 1.0612831272834375, 1.0657085186862412, 1.081062817295273, 1.0921266917807666, 1.0625345883466815, 1.0720280331836594, 1.0619521127642766, 1.0752953478582563, 1.073375548641844, 1.065209549615088]",0.12090353965759278,0.9308722197697443,1.0687214054106193,1.1480860452307542
1500,105,"[0.9370522552979321, 0.9447897199926458, 0.9252261181731792, 0.9226485581941086, 0.9359040362518675, 0.9156680033255558, 0.92226267331019, 0.9190987894051647, 0.9458516195681088, 0.9282098967248703, 0.9336363849468625, 0.9201074465303711, 0.908304573211748, 0.9246025841998846, 0.9313414665920058, 0.9197595044878062, 0.9361212078039711, 0.9412514686926833, 0.9241112193273864, 0.9082505584813855]","[1.0978303095413369, 1.0941441576937456, 1.0808645370837138, 1.0672781210994968, 1.0664758065518973, 1.0631539167517614, 1.0473059218271092, 1.0649459754446318, 1.0757881329088301, 1.0666319668017803, 1.0592935592788981, 1.073699542538585, 1.0580975129469765, 1.054154656205834, 1.067660790935825, 1.078537658361434, 1.077197175464227, 1.076201781896315, 1.0801983737026966, 1.0504815205652414]",0.13829572200775148,0.9272099042258863,1.0699970708800168,1.1539965934394774
1500,155,"[0.9396229244114652, 0.9254319548762532, 0.9316225090923776, 0.9396471730121588, 0.9338586661728749, 0.9221906813187726, 0.9436073414198473, 0.9508210108324727, 0.9286951817662183, 0.9298754847790799, 0.9326677874018839, 0.9210127670158444, 0.8991932179184843, 0.9403846285328722, 0.9186769390269017, 0.9422559789616862, 0.915482293159131, 0.927882746818277, 0.9307787197732792, 0.9287940407632508]","[1.0675703639353313, 1.0534521481124512, 1.0651040247530674, 1.0561915424915098, 1.0785543136065974, 1.0553528616909302, 1.0642979835820363, 1.0485603562445163, 1.0670471862371131, 1.0399798933282571, 1.071266489192639, 1.0660244008467366, 1.0471833200100291, 1.0508129589331643, 1.065372926078128, 1.0686639043370323, 1.0644479359675207, 1.059223228827536, 1.0598799731396544, 1.0655063088526735]",0.15765173435211183,0.9301251023526567,1.0607246060083464,1.1404106859661691
1500,205,"[0.9414414643433955, 0.9217457248507338, 0.9389711644400389, 0.929938727698952, 0.9342136119446944, 0.945394085933108, 0.9215661532967034, 0.9330979379413585, 0.9427945199126865, 0.9440882334565924, 0.9395163818769298, 0.928863357883547, 0.9232990026398439, 0.9223332681640299, 0.9407736771615028, 0.9372312508462757, 0.9335453103279722, 0.9273688214113179, 0.9490346595460766, 0.9351055619042019]","[1.0755288677517538, 1.0887735859595946, 1.0622321796805225, 1.073700209543921, 1.0586183487480212, 1.0787345853845303, 1.0563847734392604, 1.064201659258942, 1.065673561409166, 1.0671653597895951, 1.069048086201719, 1.0584662783692655, 1.048988378561152, 1.0539459618981535, 1.0729710016353051, 1.0622312930087492, 1.0614678455069575, 1.0751744886239873, 1.08755897726034, 1.0486258642296558]",0.1791412949562073,0.9345161457789979,1.0664745653130296,1.1412050718760276
1500,255,"[0.9137174790279938, 0.9324433125048818, 0.9415145922057441, 0.9462381076653358, 0.9230036379235736, 0.9235166515013595, 0.9396834510000491, 0.9322424855733701, 0.9133586884389902, 0.9456559112584193, 0.9088086491391314, 0.9447524818491826, 0.9230544131939046, 0.9309340863863401, 0.9388652890217676, 0.9267262592965394, 0.9416079668401721, 0.9237829193437374, 0.9116350974627312, 0.9321007613988186]","[1.0714859901454796, 1.0704630165055706, 1.067985439344383, 1.0804305950782869, 1.0756526029483022, 1.0500982130641543, 1.084933581736161, 1.0668692963289597, 1.0576417930277062, 1.0714331163250328, 1.075808304162169, 1.0653799991976172, 1.0573992638463463, 1.0845790976904721, 1.0703198765119057, 1.0655336268021056, 1.0807678447696345, 1.081549854652914, 1.0674776136063138, 1.080173504629342]",0.19661893844604492,0.9296821120516021,1.0712991315186429,1.152328433161442
1500,305,"[0.9274390706431398, 0.9244777629741286, 0.9281981838728574, 0.9293261371847257, 0.9281619361159655, 0.9308394341594143, 0.9170869702708382, 0.925705930612384, 0.9496380556907913, 0.9256132048594254, 0.929759313169476, 0.9292380995165613, 0.9434554874142869, 0.9287429485888442, 0.9171075053934998, 0.9411765939041796, 0.9244472249817347, 0.9400880537675953, 0.9227967769854529, 0.9459155166125721]","[1.0527853518799264, 1.0663734953866522, 1.067595151405112, 1.058565835754206, 1.0775713251074255, 1.0720689441235578, 1.0769855609254204, 1.0769923789208697, 1.0532724915279064, 1.0692897293011232, 1.0699824485487317, 1.073351501623823, 1.069532594558436, 1.0701685629345812, 1.0701951529348752, 1.0504594746717564, 1.0750594405540843, 1.0595741476449048, 1.077009948567178, 1.0693921616296782]",0.21989779472351073,0.9304607103358938,1.0678112849000125,1.1476156629058905
1500,355,"[0.9538253476157118, 0.9264057342671211, 0.9325660508820662, 0.9395290121354419, 0.932645480847457, 0.9159734435971278, 0.9320969451694205, 0.9264597212747017, 0.914282161249745, 0.9310053271443555, 0.9201128754858717, 0.9373763925987728, 0.9336722281782615, 0.9289316857340295, 0.9296716469127121, 0.9374066131186302, 0.9303437393345194, 0.9157402380619862, 0.9413216249043431, 0.9444367923990873]","[1.0745225466625177, 1.0874396599671283, 1.0673038882426291, 1.0614817983442337, 1.0855150479718565, 1.0538460237499898, 1.0463009978567306, 1.0804521251528028, 1.056558086953495, 1.0572949333042623, 1.0701578656319761, 1.0558425446529822, 1.071008129178617, 1.0681767851078678, 1.0583600230258583, 1.0623279890644084, 1.0771155954706935, 1.0740633003842832, 1.0588549763719464, 1.0450198657331122]",0.25917462110519407,0.9311901530455682,1.0655821091413695,1.1443227848321382
1500,405,"[0.9357996692046061, 0.9389795210863359, 0.9437317036583508, 0.9439030102847862, 0.9294413146469674, 0.9403087855461028, 0.9319687086328291, 0.9280686242858627, 0.9466163583625691, 0.9240243937712252, 0.9330360480744043, 0.9485613611767781, 0.9441123611147907, 0.9284618091438457, 0.9241265997967297, 0.9390021348529248, 0.9479172400243139, 0.9496539896743859, 0.9216923805334846, 0.9403010269342492]","[1.0515009693435466, 1.0735726976744937, 1.0791822075353197, 1.0830577518036952, 1.0523490828400264, 1.0661769323068688, 1.062524367125397, 1.0693984045315044, 1.0646483780019236, 1.0643922521164553, 1.0880792127194696, 1.0673524964500312, 1.0749781557708105, 1.0712279084969456, 1.052647184883656, 1.0573210637444073, 1.0965953773761485, 1.068016645561432, 1.042050602722313, 1.0796831804934481]",0.2583524942398071,0.9369853520402772,1.0682377435748944,1.1400794486795511
1500,455,"[0.923199113269247, 0.944229815467039, 0.9160569082527975, 0.9355399665228427, 0.9400999681944144, 0.9181855595489299, 0.9308354758172566, 0.9305339203691988, 0.9166779788830834, 0.9260447101682925, 0.9364623849766718, 0.9250877624222785, 0.9278730119037171, 0.9265990845941305, 0.9325782233346223, 0.9313413363167512, 0.9229255731820651, 0.9355466547728454, 0.9089163826614888, 0.9211515690488957]","[1.086068568484281, 1.0789833254542527, 1.069439529238552, 1.0507131545981152, 1.058873522719693, 1.0676527507700004, 1.0843682792032119, 1.057929201026973, 1.0580072247365844, 1.0743640104334016, 1.0796597736111175, 1.0550297229706722, 1.0630621244465759, 1.0658823881539268, 1.0513036945039866, 1.073332610168521, 1.0491533125166368, 1.0667992938971445, 1.0640216715449797, 1.0649391579364151]",0.2775723457336426,0.9274942699853282,1.065979165820752,1.1493107831680884
