m,MSE,Sparsity,Min_SVD_Error,Max_SVD_Error,sketching_error,inv_squared_sketching_error
100,0.0022293077526443,10,8.0839567213315,9.979133778178054,9.979133778178054,0.0100418634277635
200,0.0001260194940129,10,5.108946104231992,7.036961590747096,7.036961590747096,0.0201943388345843
300,4.869383932318404e-05,10,3.7570878664502336,5.764842470545899,5.764842470545899,0.0300902025645291
400,3.19265740446127e-05,10,3.017900584785416,4.982842309178688,4.982842309178688,0.0402759426007559
500,2.8245789719566367e-05,10,2.454534015801268,4.4574223575585,4.4574223575585,0.0503306368673992
600,2.2336328977768158e-05,10,2.014815515481995,4.063410691787443,4.063410691787443,0.060564559383608
700,1.5333021283101675e-05,10,1.7798332368045973,3.775748628254518,3.775748628254518,0.0701445370789771
800,1.4370355826397413e-05,10,1.5412581835711858,3.563156801193359,3.563156801193359,0.0787644293911129
900,1.1175808009679665e-05,10,1.3404422758552847,3.332844220049201,3.332844220049201,0.0900264179318135
1000,1.1228677829495843e-05,10,1.141143007846078,3.159187111798829,3.159187111798829,0.1001957503598608
1100,1.3373675210444276e-05,10,1.0137523425380688,3.0328641771347185,3.0328641771347185,0.1087161532404172
1200,9.297602001729735e-06,10,0.8912385549167303,2.897170605683948,2.897170605683948,0.1191384263783431
1300,1.005485290839061e-05,10,0.7617905449981028,2.7765350014781838,2.7765350014781838,0.1297160438131698
1400,9.011623435159356e-06,10,0.677649276537136,2.6688433452527915,2.6688433452527915,0.1403957092079973
1500,6.803970718072531e-06,10,0.5854319703873163,2.615868284036922,2.615868284036922,0.1461397147703591
1600,8.094888849692947e-06,10,0.5032506608823069,2.5055616008885258,2.5055616008885258,0.1592904835914
1700,6.6951707502817e-06,10,0.4232038146988819,2.438490176592126,2.438490176592126,0.1681736612780837
1800,5.800373865282269e-06,10,0.3520446470686331,2.3416370184351285,2.3416370184351285,0.1823731291209622
1900,6.264634435945914e-06,10,0.2821163132600959,2.290185754915793,2.290185754915793,0.1906595580499271
2000,4.576889338862442e-06,10,0.2385758961532531,2.2399660606244782,2.2399660606244782,0.1993045088692955
2100,6.481987347257483e-06,10,0.1836847858000565,2.23622690784401,2.23622690784401,0.1999715727065061
2200,5.42756935608901e-06,10,0.1260004075957816,2.132997275832426,2.132997275832426,0.219795804572819
2300,5.3364574400903465e-06,10,0.0878276312691364,2.0880202960415453,2.0880202960415453,0.2293668067736613
2400,5.24685348189572e-06,10,0.0355727539257222,2.0450761415515384,2.0450761415515384,0.2391008035804701
2500,4.487468558388729e-06,10,0.0001700691907251,2.004796487766728,2.004796487766728,0.2488051779861665
2600,4.416532906820333e-06,10,0.038836334425752,1.961467380262945,1.961467380262945,0.2599188757327179
2700,5.087147899097992e-06,10,0.0758080530560244,1.9322792155792512,1.9322792155792512,0.2678306252128892
2800,4.113339789017939e-06,10,0.1114773924109617,1.897143480083551,1.897143480083551,0.2778431184508427
2900,3.875433897911216e-06,10,0.1489534971219616,1.864786590643265,1.864786590643265,0.2875687732986604
3000,4.3066711408921626e-06,10,0.1744751216156728,1.8316188404193128,1.8316188404193128,0.2980779122543545
3100,4.118789326376837e-06,10,0.2063163077796682,1.8061616168319832,1.8061616168319832,0.3065397384491545
3200,4.893948271937209e-06,10,0.2389465036544259,1.7778271352705728,1.7778271352705728,0.3163886815850415
3300,4.178340055098946e-06,10,0.2643327721010443,1.7704313903732696,1.7704313903732696,0.3190375471275498
3400,4.530471862935391e-06,10,0.2835022839071096,1.7442286065978516,1.7442286065978516,0.3286950698622778
3500,4.624514090767222e-06,10,0.311807697130454,1.7006794322377434,1.7006794322377434,0.3457443414875959
3600,4.03663310136621e-06,10,0.3357658093348031,1.696495532018118,1.696495532018118,0.3474517949445889
3700,4.282488607439224e-06,10,0.3548011076091313,1.6492005190971826,1.6492005190971826,0.3676656648431708
3800,3.905413609639391e-06,10,0.3774369222561868,1.6523651731780786,1.6523651731780786,0.3662586871978598
3900,3.5990573317844765e-06,10,0.4030443553332098,1.6134769475661055,1.6134769475661055,0.3841266779236396
4000,2.9073943509086465e-06,10,0.4221160344168683,1.5938707525542322,1.5938707525542322,0.3936350819812581
