m,MSE,Sparsity,Min_SVD_Error,Max_SVD_Error,sketching_error,inv_squared_sketching_error
100,1.156470899411254e-27,10,0.9879832828904479,0.816591498858658,0.9879832828904479,1.0244736854005465
200,9.866730237464979e-28,10,0.6568259166750132,0.5163470244156745,0.6568259166750132,2.317925315974803
300,3.866078890886927e-28,10,0.5071069420257839,0.4133473722378014,0.5071069420257839,3.888668197127796
400,4.217394918013068e-28,10,0.4258706153322823,0.3510266745315267,0.4258706153322823,5.513719260970842
500,5.388238161693763e-28,10,0.35621475187083107,0.33905974334972155,0.35621475187083107,7.8809069216142476
600,4.703450711192843e-28,10,0.3254552059306459,0.27867626485921826,0.3254552059306459,9.44099036294918
700,4.5843656317287075e-28,10,0.3032067918221495,0.27102416939160956,0.3032067918221495,10.877326117800155
800,5.314569493198576e-28,10,0.29107121475057474,0.22477762286567815,0.29107121475057474,11.803246668717634
900,5.503600330752992e-28,10,0.2663289404297542,0.2270577188239793,0.2663289404297542,14.098187345339838
1000,4.419324541177153e-28,10,0.2311019146384904,0.2200734753446134,0.2311019146384904,18.723753411240835
1100,3.893368134907536e-28,10,0.21896335569726877,0.2082246370445171,0.21896335569726877,20.857253501361328
1200,4.738751439366487e-28,10,0.21348315092971248,0.16604870435092112,0.21348315092971248,21.941827255352568
1300,5.2321656746848685e-28,10,0.19079421723620316,0.17777427426527193,0.19079421723620316,27.470691063791502
1400,4.696217925968272e-28,10,0.18500404864910158,0.1671000736181738,0.18500404864910158,29.217128773039807
1500,4.0731431935052835e-28,10,0.19144734116506434,0.16208100022637262,0.19144734116506434,27.283577872892625
1600,4.9188520941398885e-28,10,0.16930805419672657,0.14435351822406073,0.16930805419672657,34.88548481837281
1700,5.578419781678921e-28,10,0.17288063936625087,0.15403163445606216,0.17288063936625087,33.458562635249166
1800,5.732100550275262e-28,10,0.16117479202848806,0.14044765790993297,0.16117479202848806,38.49512755472196
1900,4.165577073361574e-28,10,0.15225036710751694,0.13202695908556805,0.15225036710751694,43.14031412068047
2000,3.3348787174094996e-28,10,0.1544087716617527,0.1275072044909431,0.1544087716617527,41.94266906159679
2100,4.639545301883555e-28,10,0.13254700497317806,0.12621254109967284,0.13254700497317806,56.91938018339273
2200,5.940697178994528e-28,10,0.1455823321145805,0.12832379760489254,0.1455823321145805,47.18268546385489
2300,9.321736751711448e-28,10,0.12355286086001949,0.13464052939625537,0.13464052939625537,55.163063749351295
2400,4.456171758740516e-28,10,0.12785577443550666,0.11078060305733461,0.12785577443550666,61.17293328581028
2500,4.192627151549829e-28,10,0.13171069779236322,0.11138603245321899,0.13171069779236322,57.64450295208352
2600,4.204665329200873e-28,10,0.13383392799128258,0.11044596945799467,0.13383392799128258,55.82999010020509
2700,7.60589449023605e-28,10,0.11388081931772431,0.1089962398303781,0.11388081931772431,77.10789262867979
2800,5.6271720358155285e-28,10,0.10800907011621141,0.11639624548433547,0.11639624548433547,73.81116437717534
2900,4.123774800896504e-28,10,0.113652591550093,0.10117124115208753,0.113652591550093,77.41788699925465
3000,3.803363481334652e-28,10,0.10602806318670255,0.09640376954616148,0.10602806318670255,88.95253792364402
3100,4.822712530166487e-28,10,0.09160594640908593,0.10273772016414062,0.10273772016414062,94.74147715678386
3200,6.478441908171644e-28,10,0.10234941290455446,0.09082316673443902,0.10234941290455446,95.46172731797823
3300,3.6201262239278264e-28,10,0.08575114853804466,0.0982152522822235,0.0982152522822235,103.66738100929587
3400,5.654555005602067e-28,10,0.10622028328989608,0.08842376905948401,0.10622028328989608,88.63088570269929
